Episode Number,Pitch Number,Company,Idea,Industry,Investment,Debt,Equity,Ashneer,Anupam,Namita,Aman,Vineeta,Peyush,Ghazal,Deal_status,Num_Investors
25,79,PawsIndia,Dog Products,Pet,5000000.0,0.0,0.15,0,1,0,0,0,0,0,Funded,1
25,80,Sunfox Technologies,Portable ECG Device,Healthcare Equipment,10000000.0,0.0,0.06,0,1,1,0,1,1,1,Funded,5
25,81,Alpino,Roasted Peanut Products,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
26,82,Isak Fragrances,Perfumes,Fashion/Beauty,5000000.0,0.0,0.5,0,0,0,0,0,1,0,Funded,1
26,83,Julaa Automation,Automatic Cradle,Healthcare Equipment,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
26,84,Rare Planet,Handicrafts,Fashion/Beauty,6500000.0,0.0,0.3,0,0,1,0,0,0,0,Funded,1
27,85,Theka Coffee,Coffee Products,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
27,86,Watt Technovations,Ventilated PPE Kits,Healthcare,10100000.0,0.0,0.04,0,1,1,0,0,1,1,Funded,4
27,87,Aliste Technologies,Automation Solutions,Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
27,88,Insurance Samadhan,Insurance Solutions,Fintech,10000000.0,0.0,0.04,0,0,0,0,0,1,0,Funded,1
28,89,Humpy A2,Organic Milk Products,Food,10000000.0,0.0,0.15,0,0,0,0,1,1,1,Funded,3
28,90,Kunafa World,Kunafa,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,Social Cause,5000000.0,0.0,0.3,0,0,0,0,1,1,1,Funded,3
29,92,Wakao Foods,Jackfruit Products,Food,7500000.0,0.0,0.21,0,0,1,0,1,0,1,Funded,3
29,93,PDD Falcon,Stainless Steel Items,Kitchen,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
29,94,PlayBox TV,Streaming Platform,Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
30,95,Sippline Drinking Shields,Portable Glass Attachment,Construction,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
30,96,Kabaddi Adda,All-Kabaddi App,Technology,8000000.0,0.0,0.06,0,0,1,0,1,0,0,Funded,2
30,97,Shades of Spring,Flowers,Gifting,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
30,98,Scholify,Scholarship Platform,Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
31,99,Scrapshala,Handmade Reusable Scrap Materials,Eco Friendly,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
31,100,Sabjikothi,Vegetables Storage,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
31,101,AyuRythm,Ayurvedic Wellness App,Technology,7500000.0,0.0,0.03,0,0,0,1,0,0,0,Funded,1
31,102,Astrix,Smart Locks,Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
32,103,Thea and Sid,Proposal Solutions,Gifting,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
32,104,Experential Etc,Technology layered Advertisement Services,Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
32,105,GrowFitter,Rewards App,Technology,5000000.0,0.0,0.02,0,0,0,1,0,0,0,Funded,1
32,106,Med Tech,Portable opthalmic devices,Healthcare Equipment,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
33,107,Colour Me Mad,Insoles,Fashion/Beauty,4000000.0,0.0,0.25,0,0,1,0,0,0,0,Funded,1
33,108,Mavi's,Vegan Fermented Food,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
33,109,Tweek Labs,Sportswear,Fashion/Beauty,6000000.0,0.0,0.1,1,1,0,0,0,1,0,Funded,3
33,110,Proxgy,VR,Technology,10000000.0,0.0,0.1,1,0,0,0,0,1,0,Funded,2
34,111,Nomad Food Project,Bacon Jams,Food,4000000.0,0.0,0.2,1,0,1,0,1,0,1,Funded,4
34,112,Twee in One,Reversible and convertible clothing,Fashion/Beauty,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
34,113,Green Protein,Plant-Based Protein,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
34,114,On2Cook,Fastest Cooking Device,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
35,115,Jain Shikanji,Lemonade,Food,4000000.0,0.0,0.3,1,1,0,1,1,0,0,Funded,4
35,116,Woloo,Washroom Finder,Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
35,117,Elcare India,Carenting for Elders,Healthcare,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
